,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
823,Christian Eriksen,dk DEN,MF,Brentford,eng Premier League,29,1992,10.4,1,22,8,36.4,2.11,0.77,0.05,0.13,24.6,5,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches,980522ec
824,Martin Erlic,hr CRO,DF,Spezia,it Serie A,23,1998,28.6,2,15,3,20.0,0.52,0.10,0.13,0.67,10.1,0,0,0,3.0,3.0,0.20,-1.0,-1.0,Matches,0fee6bda
825,Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,28,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3f79a1c8
826,Gonzalo Escalante,ar ARG,MF,Alavés,es La Liga,28,1993,14.4,5,16,9,56.3,1.11,0.62,0.31,0.56,12.2,0,0,0,3.2,3.2,0.20,+1.8,+1.8,Matches,3f79a1c8
827,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,67669ce7
828,Sergio Escudero,es ESP,DFMF,Granada,es La Liga,31,1989,15.9,2,21,4,19.0,1.32,0.25,0.10,0.50,27.1,4,0,0,1.1,1.1,0.05,+0.9,+0.9,Matches,b0616e3d
829,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,29,1992,37.0,2,27,7,25.9,0.73,0.19,0.07,0.29,20.7,0,0,0,1.7,1.5,0.06,+0.3,+0.5,Matches,db001fa9
830,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,83e0eeb4
831,Estanis,es ESP,FW,Barcelona,es La Liga,17,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ace50e9f
832,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,19,2002,20.6,0,5,1,20.0,0.24,0.05,0.00,0.00,7.5,0,0,0,0.9,0.9,0.18,-0.9,-0.9,Matches,1a066e69
833,Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,23,1998,17.5,0,14,4,28.6,0.80,0.23,0.00,0.00,19.1,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches,d38fdf53
834,Oghenekaro Etebo,ng NGA,MF,Watford,eng Premier League,25,1995,4.5,0,3,0,0.0,0.67,0.00,0.00,,31.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,b579e83d
835,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,33,1988,15.0,1,3,2,66.7,0.20,0.13,0.33,0.50,5.6,0,0,0,0.6,0.6,0.20,+0.4,+0.4,Matches,f8fcd2a5
836,Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,23,1998,6.7,1,10,1,10.0,1.49,0.15,0.10,1.00,20.8,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,ae4fc6a4
837,Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,es La Liga,19,2001,6.4,1,16,4,25.0,2.48,0.62,0.06,0.25,16.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,bed68338
838,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9328b835
839,Fabinho,br BRA,MF,Liverpool,eng Premier League,27,1993,25.7,5,19,7,36.8,0.74,0.27,0.16,0.43,19.9,2,2,2,3.9,2.4,0.14,+1.1,+0.6,Matches,7f3b388c
840,Fábio,br BRA,DF,Nantes,fr Ligue 1,31,1990,18.5,0,11,1,9.1,0.59,0.05,0.00,0.00,17.7,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches,bc7b4580
841,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,34,1987,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,33508c78
842,Wout Faes,be BEL,DF,Reims,fr Ligue 1,23,1998,37.0,4,22,9,40.9,0.59,0.24,0.18,0.44,13.6,0,0,0,2.1,2.1,0.10,+1.9,+1.9,Matches,9c221d14
843,Wahidullah Faghir,dk DEN,FW,Stuttgart,de Bundesliga,18,2003,1.4,1,5,1,20.0,3.66,0.73,0.20,1.00,17.3,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches,93c9e7d9
844,Romain Faivre,fr FRA,FWMF,Lyon,fr Ligue 1,23,1998,9.9,3,20,6,30.0,2.02,0.61,0.15,0.50,18.4,1,0,0,1.8,1.8,0.09,+1.2,+1.2,Matches,745ca0a3
845,Romain Faivre,fr FRA,MF,Brest,fr Ligue 1,23,1998,19.9,7,32,12,37.5,1.60,0.60,0.06,0.17,23.1,5,5,5,6.5,2.5,0.08,+0.5,-0.5,Matches,745ca0a3
846,Radamel Falcao,co COL,FW,Rayo Vallecano,es La Liga,35,1986,9.3,6,33,15,45.5,3.54,1.61,0.18,0.40,13.4,2,0,0,4.9,4.9,0.15,+1.1,+1.1,Matches,66116290
847,Diego Falcinelli,it ITA,FW,Bologna,it Serie A,30,1991,0.7,0,5,0,0.0,6.82,0.00,0.00,,15.6,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches,a39b9ef6
848,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,9.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f5a610b
849,Fali,es ESP,DFMF,Cádiz,es La Liga,27,1993,20.0,0,14,0,0.0,0.70,0.00,0.00,,16.9,2,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,72a84002
850,Paolo Faragò,it ITA,MF,Cagliari,it Serie A,28,1993,0.2,0,2,1,50.0,11.25,5.63,0.00,0.00,13.6,0,0,0,0.4,0.4,0.22,-0.4,-0.4,Matches,9085dd7c
851,Omar Faraj,se SWE,FW,Levante,es La Liga,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,de627c8a
852,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,29,1991,28.6,4,30,9,30.0,1.05,0.31,0.13,0.44,14.1,0,0,0,3.0,3.0,0.10,+1.0,+1.0,Matches,aae9d04a
853,Mohamed Fares,dz ALG,DFFW,Genoa,it Serie A,25,1996,6.5,2,13,3,23.1,1.99,0.46,0.15,0.67,14.2,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches,b7a5bc86
854,Diego Farias,br BRA,MFFW,Cagliari,it Serie A,31,1990,0.7,0,1,0,0.0,1.36,0.00,0.00,,23.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,157d29b6
855,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,12.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2c127b6f
856,Ömer Faruk Beyaz,tr TUR,DFMF,Stuttgart,de Bundesliga,17,2003,0.8,0,3,1,33.3,3.80,1.27,0.00,0.00,20.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,8307b663
857,Noah Fatar,fr FRA,DFMF,Angers,fr Ligue 1,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2693f6bc
858,Ansu Fati,es ESP,FW,Barcelona,es La Liga,18,2002,3.7,4,18,8,44.4,4.82,2.14,0.22,0.50,17.3,1,0,0,1.3,1.3,0.07,+2.7,+2.7,Matches,0ba976e4
859,Julien Faussurier,fr FRA,MFDF,Brest,fr Ligue 1,34,1987,5.4,0,4,3,75.0,0.74,0.55,0.00,0.00,15.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,767212e6
860,Andrea Favilli,it ITA,FW,Genoa,it Serie A,24,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,44510fde
861,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,34,1987,15.9,1,16,3,18.8,1.00,0.19,0.06,0.33,12.5,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches,4e358a2d
862,Aleix Febas,es ESP,MF,Mallorca,es La Liga,25,1996,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,38126309
863,Adrian Fein,de GER,MF,Greuther Fürth,de Bundesliga,22,1999,0.4,0,1,0,0.0,2.81,0.00,0.00,,28.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,60097ff6
864,Nabil Fekir,fr FRA,MF,Betis,es La Liga,28,1993,31.0,6,84,32,38.1,2.71,1.03,0.07,0.19,21.4,11,0,0,4.7,4.7,0.06,+1.3,+1.3,Matches,bece776f
865,Felipe,br BRA,DF,Atlético Madrid,es La Liga,32,1989,16.7,2,11,4,36.4,0.66,0.24,0.18,0.50,9.5,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Matches,51a3c4c8
866,Luiz Felipe,it ITA,DF,Lazio,it Serie A,24,1997,27.7,0,5,1,20.0,0.18,0.04,0.00,0.00,13.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,15d0c248
867,João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,21,1999,14.0,8,39,15,38.5,2.78,1.07,0.21,0.53,14.8,1,0,0,5.7,5.7,0.15,+2.3,+2.3,Matches,8aafd64f
868,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,23,1997,8.7,0,2,0,0.0,0.23,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,677da306
869,Kiko Femenía,es ESP,DF,Watford,eng Premier League,30,1991,23.8,0,3,1,33.3,0.13,0.04,0.00,0.00,20.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,e5d01ecf
870,Evan Ferguson,ie IRL,MF,Brighton,eng Premier League,16,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4596da74
871,Nathan Ferguson,eng ENG,DF,Crystal Palace,eng Premier League,20,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2f8d27bc
872,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,26,1994,34.6,10,87,29,33.3,2.52,0.84,0.11,0.34,21.9,6,0,2,9.7,8.1,0.09,+0.3,+1.9,Matches,507c7bdf
873,Edimilson Fernandes,ch SUI,MFFW,Arminia,de Bundesliga,25,1996,3.1,0,4,2,50.0,1.27,0.64,0.00,0.00,41.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,3bb625ac
874,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a01c3d54
875,Álex Fernández,es ESP,MF,Cádiz,es La Liga,28,1992,22.8,3,19,6,31.6,0.83,0.26,0.11,0.33,20.7,0,1,2,3.0,1.5,0.08,0.0,+0.5,Matches,aa677a35
876,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f127d782
877,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,32,1989,5.8,0,6,1,16.7,1.03,0.17,0.00,0.00,10.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,f25b010f
878,Fernandinho,br BRA,MFDF,Manchester City,eng Premier League,36,1985,10.7,2,18,3,16.7,1.68,0.28,0.11,0.67,16.7,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,101da2b5
879,Fernando,br BRA,MFDF,Sevilla,es La Liga,34,1987,20.6,1,6,1,16.7,0.29,0.05,0.17,1.00,18.5,0,0,0,1.0,1.0,0.17,0.0,0.0,Matches,41f32541
880,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,27,1994,18.3,1,4,1,25.0,0.22,0.05,0.25,1.00,18.5,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches,d0dbca9f
881,Salvador Ferrer,es ESP,DFMF,Spezia,it Serie A,23,1998,16.6,0,6,1,16.7,0.36,0.06,0.00,0.00,24.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,eb76987d
882,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,29,1992,32.3,0,14,2,14.3,0.43,0.06,0.00,0.00,25.8,0,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches,375622c5
883,Riccardo Fiamozzi,it ITA,DF,Empoli,it Serie A,28,1993,6.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f9b9269
884,Fidel,es ESP,MF,Elche,es La Liga,31,1989,25.1,5,17,7,41.2,0.68,0.28,0.24,0.57,15.8,1,1,1,2.8,2.0,0.12,+2.2,+2.0,Matches,eb82b6f1
885,Karol Fila,pl POL,DF,Strasbourg,fr Ligue 1,23,1998,6.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,50ac8941
886,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,32,1989,3.2,2,6,4,66.7,1.85,1.23,0.33,0.50,12.8,0,0,0,1.3,1.3,0.22,+0.7,+0.7,Matches,f9e7c4ac
887,Luca Fiordilino,it ITA,MF,Venezia,it Serie A,25,1996,7.3,0,3,1,33.3,0.41,0.14,0.00,0.00,19.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,9bb1ad91
888,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a2565f79
889,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,29,1991,11.0,5,30,11,36.7,2.73,1.00,0.17,0.45,15.3,0,0,0,4.7,4.7,0.16,+0.3,+0.3,Matches,4c370d81
890,Junior Firpo,es ESP,DFMF,Leeds United,eng Premier League,24,1996,19.0,0,11,1,9.1,0.58,0.05,0.00,0.00,14.6,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,24f59bb2
891,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a92ab7be
892,Ashley Fletcher,eng ENG,FW,Watford,eng Premier League,25,1995,0.3,0,2,1,50.0,6.00,3.00,0.00,0.00,17.6,0,0,0,0.6,0.6,0.30,-0.6,-0.6,Matches,eeb6551f
893,Alexis Flips,fr FRA,MFDF,Reims,fr Ligue 1,21,2000,11.7,2,18,9,50.0,1.53,0.77,0.06,0.11,25.0,1,1,1,2.0,1.2,0.07,0.0,-0.2,Matches,caef7840
894,Alessandro Florenzi,it ITA,DFFW,Milan,it Serie A,30,1991,12.8,2,22,6,27.3,1.72,0.47,0.09,0.33,23.7,2,0,0,0.7,0.7,0.03,+1.3,+1.3,Matches,e288d4b3
895,Phil Foden,eng ENG,FW,Manchester City,eng Premier League,21,2000,23.6,9,57,22,38.6,2.41,0.93,0.16,0.41,14.5,0,0,0,9.4,9.4,0.17,-0.4,-0.4,Matches,ed1e53f3
896,Mamadou Fofana,ml MLI,DF,Metz,fr Ligue 1,23,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4c4ffacc
897,Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,26,1995,37.3,8,97,32,33.0,2.60,0.86,0.08,0.25,21.0,0,0,0,6.4,6.4,0.07,+1.6,+1.6,Matches,5313ed43
898,Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,20,2000,7.0,0,3,1,33.3,0.43,0.14,0.00,0.00,7.9,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches,132a82f1
899,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,22,1999,24.3,0,30,6,20.0,1.23,0.25,0.00,0.00,26.4,2,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches,822d51d7
900,Thomas Foket,be BEL,DFFW,Reims,fr Ligue 1,26,1994,24.8,1,8,3,37.5,0.32,0.12,0.13,0.33,13.6,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches,90eb507d
901,Thomas Fontaine,mg MAD,DF,Lorient,fr Ligue 1,30,1991,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f90c06b
902,José Fontán,es ESP,DF,Celta Vigo,es La Liga,21,2000,3.1,0,1,0,0.0,0.33,0.00,0.00,,14.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,1827a42d
903,José Fonte,pt POR,DF,Lille,fr Ligue 1,37,1983,38.0,0,21,6,28.6,0.55,0.16,0.00,0.00,11.2,0,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches,90f87966
904,Fernando Forestieri,it ITA,FWMF,Udinese,it Serie A,31,1990,0.6,2,3,2,66.7,4.66,3.10,0.67,1.00,14.1,1,0,0,1.1,1.1,0.37,+0.9,+0.9,Matches,d60c26fc
905,Pablo Fornals,es ESP,FWMF,West Ham,eng Premier League,25,1996,31.1,6,43,11,25.6,1.38,0.35,0.14,0.55,18.7,0,0,0,4.6,4.6,0.11,+1.4,+1.4,Matches,82927de4
906,Emil Forsberg,se SWE,MF,RB Leipzig,de Bundesliga,29,1991,19.0,6,38,11,28.9,2.00,0.58,0.05,0.18,19.0,2,4,4,8.0,4.8,0.13,-2.0,-2.8,Matches,9a2e0ccc
907,Adam Forshaw,eng ENG,MF,Leeds United,eng Premier League,29,1991,17.0,0,14,4,28.6,0.82,0.24,0.00,0.00,25.0,1,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,9f1938ab
908,Marcus Forss,fi FIN,FWMF,Brentford,eng Premier League,22,1999,2.3,0,5,0,0.0,2.15,0.00,0.00,,15.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,82c215a0
909,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,1988,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c3e39f12
910,Philipp Förster,de GER,MFFW,Stuttgart,de Bundesliga,26,1995,10.7,2,29,7,24.1,2.70,0.65,0.07,0.29,17.9,1,0,0,2.8,2.8,0.09,-0.8,-0.8,Matches,76fa965f
911,Francesco Forte,it ITA,FW,Venezia,it Serie A,28,1993,4.7,1,11,2,18.2,2.35,0.43,0.09,0.50,10.5,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches,69e11a01
912,Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,29,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,574aa9ec
913,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,1983,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d0b3ceb9
914,Tariqe Fosu,gh GHA,DF,Brentford,eng Premier League,25,1995,0.2,0,1,1,100.0,5.29,5.29,0.00,0.00,17.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,3dcef539
915,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,23,1998,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a9142dc3
916,Dimitri Foulquier,fr FRA,DF,Granada,es La Liga,28,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,45e17712
917,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,28,1993,26.0,0,16,5,31.3,0.61,0.19,0.00,0.00,21.9,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,45e17712
918,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,23,1998,21.4,1,6,2,33.3,0.28,0.09,0.17,0.50,12.1,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches,6c7762c3
919,Gianluca Frabotta,it ITA,DFMF,Hellas Verona,it Serie A,22,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d80b1835
920,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,25,1995,9.4,0,1,0,0.0,0.11,0.00,0.00,,21.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,626fab5f
921,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,26,1995,27.2,6,34,13,38.2,1.25,0.48,0.18,0.46,17.9,0,0,0,2.4,2.4,0.07,+3.6,+3.6,Matches,00a8d210
922,Enric Franquesa,es ESP,DFFW,Levante,es La Liga,24,1997,6.9,0,1,0,0.0,0.14,0.00,0.00,,11.5,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches,40883e3a
923,Fransérgio,br BRA,MF,Bordeaux,fr Ligue 1,30,1990,14.0,0,14,2,14.3,1.00,0.14,0.00,0.00,21.7,1,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches,deba6b05
924,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,eng Premier League,27,1994,16.3,2,24,7,29.2,1.47,0.43,0.08,0.29,18.0,0,0,0,2.7,2.7,0.11,-0.7,-0.7,Matches,d56543a0
925,Davide Frattesi,it ITA,MF,Sassuolo,it Serie A,21,1999,31.7,4,67,20,29.9,2.11,0.63,0.06,0.20,17.3,0,0,0,5.9,5.9,0.09,-1.9,-1.9,Matches,2a7d27c1
926,Fred,br BRA,MF,Manchester Utd,eng Premier League,28,1993,22.5,4,15,9,60.0,0.67,0.40,0.27,0.44,21.3,0,0,0,1.3,1.3,0.08,+2.7,+2.7,Matches,b853e0ad
927,Ryan Fredericks,eng ENG,DF,West Ham,eng Premier League,28,1992,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c067631c
928,Morten Frendrup,dk DEN,DFMF,Genoa,it Serie A,20,2001,7.7,0,4,2,50.0,0.52,0.26,0.00,0.00,21.1,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches,f4d60499
929,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,29,1992,26.3,1,20,6,30.0,0.76,0.23,0.05,0.17,21.4,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches,98d2c2c4
930,Marvin Friedrich,de GER,DF,M'Gladbach,de Bundesliga,25,1995,6.7,0,5,1,20.0,0.75,0.15,0.00,0.00,15.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,b77f44a4
931,Marvin Friedrich,de GER,DF,Union Berlin,de Bundesliga,25,1995,13.0,0,14,4,28.6,1.08,0.31,0.00,0.00,13.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches,b77f44a4
932,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,20,2000,22.8,1,11,4,36.4,0.48,0.18,0.09,0.25,19.2,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,74f2e748
933,Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,21,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1940be91
934,Jorge de Frutos,es ESP,MFFW,Levante,es La Liga,24,1997,19.6,4,46,20,43.5,2.35,1.02,0.09,0.20,15.9,0,0,0,4.9,4.9,0.11,-0.9,-0.9,Matches,38ce1150
935,Leo Fuhr Hjelde,no NOR,MFDF,Leeds United,eng Premier League,17,2003,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d102b8a2
936,Chris Führich,de GER,FWMF,Stuttgart,de Bundesliga,23,1998,19.0,3,30,12,40.0,1.58,0.63,0.10,0.25,19.6,0,0,0,3.2,3.2,0.11,-0.2,-0.2,Matches,0cf778df
937,Angelo Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,24,1996,32.5,5,58,17,29.3,1.78,0.52,0.09,0.29,16.5,3,0,0,5.8,5.8,0.10,-0.8,-0.8,Matches,4b96c347
938,Marius Funk,de GER,GK,Greuther Fürth,de Bundesliga,25,1996,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,86314793
939,Stephan Fürstner,de GER,MF,Mainz 05,de Bundesliga,33,1987,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,18c2e247
940,Matteo Gabbia,it ITA,DF,Milan,it Serie A,21,1999,6.0,0,1,0,0.0,0.17,0.00,0.00,,5.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,c235e803
941,Manolo Gabbiadini,it ITA,FWMF,Sampdoria,it Serie A,29,1991,12.7,6,44,20,45.5,3.47,1.58,0.14,0.30,19.3,3,0,0,3.9,3.9,0.09,+2.1,+2.1,Matches,8f866fe8
942,Mijat Gaćinović,rs SRB,FWMF,Hoffenheim,de Bundesliga,26,1995,1.2,0,1,0,0.0,0.82,0.00,0.00,,10.9,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches,16daec92
943,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,21,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3b387cc7
944,Luca Gagliano,it ITA,FWDF,Cagliari,it Serie A,21,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1d00a56c
945,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,27,1994,7.2,2,8,4,50.0,1.11,0.55,0.25,0.50,17.7,0,0,0,0.9,0.9,0.12,+1.1,+1.1,Matches,ce30bfc8
946,Riccardo Gagliolo,se SWE,DF,Salernitana,it Serie A,31,1990,12.6,0,8,1,12.5,0.63,0.08,0.00,0.00,18.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,173061c0
947,Javi Galán,es ESP,DF,Celta Vigo,es La Liga,26,1994,36.6,0,19,5,26.3,0.52,0.14,0.00,0.00,27.7,1,0,0,0.5,0.4,0.02,-0.5,-0.4,Matches,a4b00319
948,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,es La Liga,27,1993,15.3,0,8,3,37.5,0.52,0.20,0.00,0.00,22.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,91f7631f
949,Nicolas Galazzi,it ITA,MF,Venezia,it Serie A,20,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a796492f
950,Pablo Galdames Millán,cl CHI,MF,Genoa,it Serie A,24,1996,11.4,0,12,3,25.0,1.05,0.26,0.00,0.00,23.7,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,dd403465
951,Thiago Galhardo,br BRA,FWMF,Celta Vigo,es La Liga,32,1989,12.8,2,30,16,53.3,2.35,1.25,0.07,0.13,12.5,0,0,0,3.4,3.4,0.11,-1.4,-1.4,Matches,766f48dd
952,Conor Gallagher,eng ENG,MF,Crystal Palace,eng Premier League,21,2000,31.6,8,52,22,42.3,1.64,0.70,0.15,0.36,17.5,4,0,0,6.3,6.3,0.12,+1.7,+1.7,Matches,c2731c10
953,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,1993,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,db3164e1
