,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
235,Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,de Bundesliga,24,1996,2.7,1,7,3,42.9,2.61,1.12,0.14,0.33,14.2,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches,fbbc8e15
236,Bebé,cv CPV,FW,Rayo Vallecano,es La Liga,31,1990,9.6,1,50,8,16.0,5.19,0.83,0.02,0.13,26.7,10,0,0,1.7,1.7,0.03,-0.7,-0.7,Matches,d8712bf9
237,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,de Bundesliga,27,1994,23.2,7,46,14,30.4,1.98,0.60,0.15,0.50,11.8,0,0,0,9.4,9.4,0.21,-2.4,-2.4,Matches,a53b661f
238,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,25,1996,34.8,2,19,5,26.3,0.55,0.14,0.11,0.40,13.5,0,0,0,1.0,1.0,0.05,+1.0,+1.0,Matches,19e4eab9
239,Mads Bech Sørensen,dk DEN,DF,Brentford,eng Premier League,22,1999,9.3,0,2,0,0.0,0.22,0.00,0.00,,12.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,30db8574
240,Sheraldo Becker,sr SUR,FWMF,Union Berlin,de Bundesliga,26,1995,19.5,4,37,18,48.6,1.89,0.92,0.11,0.22,20.1,1,0,0,2.4,2.4,0.06,+1.6,+1.6,Matches,8eb55dbb
241,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,25,1996,29.2,4,19,7,36.8,0.65,0.24,0.21,0.57,8.9,0,0,0,2.2,2.2,0.12,+1.8,+1.8,Matches,4115ce4e
242,Donny van de Beek,nl NED,MF,Manchester Utd,eng Premier League,24,1997,0.8,1,2,1,50.0,2.40,1.20,0.50,1.00,9.0,0,0,0,0.5,0.5,0.24,+0.5,+0.5,Matches,50dc94ce
243,Donny van de Beek,nl NED,MF,Everton,eng Premier League,24,1997,5.4,1,5,1,20.0,0.93,0.19,0.20,1.00,20.5,0,0,0,1.1,1.1,0.21,-0.1,-0.1,Matches,50dc94ce
244,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7b4de647
245,Valon Behrami,ch SUI,MFFW,Genoa,it Serie A,36,1985,3.5,0,1,0,0.0,0.29,0.00,0.00,,13.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,d3d758d8
246,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,30,1991,5.5,2,16,7,43.8,2.89,1.26,0.13,0.29,11.5,0,0,0,2.4,2.4,0.15,-0.4,-0.4,Matches,30ae134d
247,Youcef Belaïli,dz ALG,MFFW,Brest,fr Ligue 1,29,1992,9.2,3,16,6,37.5,1.75,0.65,0.19,0.50,15.9,2,0,1,2.8,1.9,0.12,+0.2,+1.1,Matches,1a248246
248,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,21.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4f8ce0e1
249,Ishak Belfodil,dz ALG,FW,Hertha BSC,de Bundesliga,29,1992,18.2,5,31,17,54.8,1.71,0.94,0.13,0.24,13.1,0,1,1,3.7,3.0,0.10,+1.3,+1.0,Matches,ff182fdc
