,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,8,0,0,27,52,1,50,28,44,0,2,1,154,13,50,20.6,Matches,774cf58b
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,5,1,0,39,25,0,4,68,27,0,1,0,195,62,38,62.0,Matches,32c2d95f
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,12,3,2,43,37,0,14,42,23,0,0,0,186,17,20,45.9,Matches,82464ce3
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,9,0,0,41,69,1,37,55,60,0,0,0,264,11,7,61.1,Matches,31626657
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches,469d3d84
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,3,0,0,17,11,15,3,4,7,0,0,0,28,19,30,38.8,Matches,cadd666a
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0.0,Matches,0e46fa2f
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,9,0,0,38,49,17,16,5,13,1,1,0,68,78,80,49.4,Matches,f586779e
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,2,0,0,5,4,0,0,5,3,0,0,1,14,7,14,33.3,Matches,1f462f95
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,2,1,0,18,16,4,3,34,12,1,0,0,162,69,43,61.6,Matches,b96b595c
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,0,0,0,5,8,6,6,0,0,0,0,0,7,18,10,64.3,Matches,dc38e3bc
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,1e93fc5d
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,10,0,0,38,48,0,178,14,29,0,1,0,173,22,32,40.7,Matches,81442ecb
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,0,0,0,29,40,7,8,8,6,0,0,0,70,61,91,40.1,Matches,f2bf1b0f
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,5,0,0,19,15,0,2,16,7,0,0,0,85,20,10,66.7,Matches,2b09d998
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,0,0,0,5,8,4,5,1,6,0,0,0,24,3,14,17.6,Matches,22919e97
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,1,0,0,16,2,0,11,11,11,0,0,0,35,3,5,37.5,Matches,7587446d
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14.0,3,0,0,27,28,8,21,11,14,0,0,0,62,12,29,29.3,Matches,dcfb17f4
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,5,0,0,21,27,4,114,37,27,0,0,0,150,12,19,38.7,Matches,26777636
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,1,0,0,13,4,0,7,6,5,0,0,0,27,5,4,55.6,Matches,f9c927de
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,5,1,1,15,24,4,8,3,3,0,0,0,31,11,15,42.3,Matches,0154d290
